sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse_expanded,rmse_simple,telemetry_byte_count,jitter
dynamic,2,1.0,60.0,39,0.1495647736341516,0.06543177615007428,2397,0.1918755419395393
sINT,2,1.0,60.0,64,0.1447126445925433,0.09468103643603927,2852,0.19765572435952602
static,2,1.0,60.0,55,0.1330140931204987,0.04762703336862586,3480,0.1831551691793112
dynamic,2,1.0,60.0,39,0.14979630899768775,0.06701183145724582,2222,0.1814465824077457
sINT,2,1.0,60.0,64,0.14425015536269614,0.1009800422749249,2852,0.16856280206076368
static,2,1.0,60.0,55,0.1266391995538596,0.059344893529532504,3493,0.18094820308270798
dynamic,2,1.0,60.0,41,0.15456319133615798,0.05297935073171708,2405,0.19884191201865895
sINT,2,1.0,60.0,64,0.1469084675266037,0.09306444831640594,2852,0.21113078923763653
static,2,1.0,60.0,55,0.13031528271302148,0.054183148893571786,3443,0.17131923313963496
dynamic,2,0.5,60.0,60,0.11695093304467447,0.08437857779638663,3643,0.33561083753146437
sINT,2,0.5,60.0,64,0.1260175009107556,0.09743725013774682,2852,0.20578751009847318
static,2,0.5,60.0,108,0.09229525817323862,0.06667893025869533,6881,0.2885771531079852
dynamic,2,0.5,60.0,60,0.1199855065407188,0.08188333672063366,3535,0.2474948260665378
sINT,2,0.5,60.0,64,0.12922982069101388,0.09190609838741552,2852,0.15251328966474473
static,2,0.5,60.0,108,0.09370466271993032,0.06467594905709596,6881,0.14617241014807728
dynamic,2,0.5,60.0,57,0.12175419413107016,0.07822655908248474,3418,0.31380036011941054
sINT,2,0.5,60.0,64,0.12310574378709083,0.09335161105543839,2852,0.317987377745005
static,2,0.5,60.0,108,0.09514040417817025,0.07207222333602376,6906,0.28876690751371953
dynamic,2,2.0,60.0,26,0.1649945748991535,0.10138625450669644,1410,0.3196969155044071
sINT,2,2.0,60.0,64,0.14753193844126297,0.10196179901427423,2852,0.28090807716766125
static,2,2.0,60.0,28,0.16449836082464658,0.10508284196530647,1717,0.1634574980689546
dynamic,2,2.0,60.0,25,0.17166658842349466,0.11401089305655072,1384,0.205250915895932
sINT,2,2.0,60.0,64,0.1453841118590622,0.0953516359933176,2852,0.1809539161574947
static,2,2.0,60.0,28,0.1643098944761149,0.104978138373514,1713,0.14143618242830705
dynamic,2,0.25,60.0,86,0.09643053404019411,0.06329494654864387,5545,0.24178874249523677
sINT,2,0.25,60.0,64,0.12401705550625176,0.10299312508913602,2852,0.1453000677745672
static,2,0.25,60.0,212,0.07423943327760868,0.05365873069194051,13522,0.3236904466323572
